;estado;cidade;pib;populacao;pib_percapita;sigla;regiao
4507;CEARÁ;Paramoti;41914.27734375;12130;3455.41992188;;
4508;SANTA CATARINA;Lebon Régis;126825.78125;12134;10452.09960938;SC;SUL
4509;SÃO PAULO;Capivari;884417.375;46331;19089.109375;;
4510;MATO GROSSO;São Félix do Araguaia;166486.0;11257;14789.54980469;MT;CENTRO-OESTE
4511;TOCANTINS;Caseara;35086.3125;4927;7121.22998047;TO;NORTE
4512;MARANHÃO;Imperatriz;2000734.5;236691;8452.94042969;;
4513;PARANÁ;Bandeirantes;292894.5;32994;8877.20019531;;
4514;MINAS GERAIS;Alpercata;40111.55859375;7252;5531.10009766;MG;SUDESTE
4515;MINAS GERAIS;Santa Luzia;1786026.125;231607;7711.45019531;MG;SUDESTE
4516;MINAS GERAIS;Glaucilândia;17455.43164062;3072;5682.10986328;MG;SUDESTE
4517;MINAS GERAIS;Santo Antônio do Aventureiro;22728.75585938;3600;6313.54003906;MG;SUDESTE
4518;RIO GRANDE DO SUL;Tenente Portela;142915.875;14253;10027.0703125;RS;SUL
4519;PARÁ;Itaituba;604472.25;127848;4728.04980469;;
4520;RIO GRANDE DO SUL;Porto Vera Cruz;22020.046875;2038;10804.73046875;RS;SUL
4521;MATO GROSSO;Vila Bela da Santíssima Trindade;193655.09375;14523;13334.37011719;MT;CENTRO-OESTE
4522;PARANÁ;Quatro Barras;530300.625;19277;27509.5;;
4523;CEARÁ;Fortaleza;31789186.0;2505552;12687.5;;
4524;SANTA CATARINA;Palmeira;44152.43359375;2456;17977.38085938;SC;SUL
4525;RIO GRANDE DO SUL;Salvador do Sul;139793.515625;7165;19510.609375;RS;SUL
4526;GOIÁS;Caiapônia;271639.34375;16559;16404.33007812;;
4527;MARANHÃO;Loreto;83674.0859375;10701;7819.27978516;;
4528;MINAS GERAIS;Santa Juliana;283207.6875;11571;24475.65039062;MG;SUDESTE
4529;RIO GRANDE DO SUL;Novo Hamburgo;4499416.0;257746;17456.77929688;RS;SUL
4530;BAHIA;Ibicaraí;100709.2734375;24569;4099.04003906;BA;NORDESTE
4531;PARÁ;São João do Araguaia;42977.30078125;11923;3604.57006836;;
4532;PERNAMBUCO;Exu;122558.078125;31086;3942.55004883;PE;NORDESTE
4533;MINAS GERAIS;Caparaó;43127.42578125;4991;8641.04003906;MG;SUDESTE
4534;SÃO PAULO;Quadra;52995.9609375;2789;19001.77929688;;
4535;RIO GRANDE DO SUL;Fagundes Varela;52355.99609375;2607;20082.84960938;RS;SUL
4536;SERGIPE;Itabaianinha;182475.3125;38850;4696.91992188;SE;NORDESTE
4537;SÃO PAULO;Juquiá;145942.484375;19585;7451.75;;
4538;SÃO PAULO;Palmital;406439.09375;22323;18207.18945312;;
4539;ALAGOAS;Coité do Nóia;31372.484375;11127;2819.48999023;AL;NORDESTE
4540;RONDÔNIA;Rio Crespo;89956.921875;3290;27342.52929688;;
4541;MARANHÃO;Presidente Sarney;63821.51171875;16325;3909.42993164;;
4542;RIO DE JANEIRO;Duque de Caxias;25747558.0;872762;29501.24023438;RJ;SUDESTE
4543;PARANÁ;Querência do Norte;122119.8359375;12306;9923.59960938;;
4544;MATO GROSSO DO SUL;Itaporã;230821.453125;19390;11904.15039062;MS;CENTRO-OESTE
4545;SERGIPE;UMBAÚBA;118739.953125;21397;5549.37011719;SE;NORDESTE
4546;MINAS GERAIS;Central de Minas;37185.7265625;6821;5451.64990234;MG;SUDESTE
4547;SERGIPE;Aquidabã;103898.78125;19890;5223.66992188;SE;NORDESTE
4548;MINAS GERAIS;Canápolis;262747.75;11865;22144.76953125;MG;SUDESTE
4549;GOIÁS;Itajá;63981.1328125;5528;11574.00976562;;
4550;PIAUÍ;Tamboril do Piauí;9977.36425781;3037;3285.27001953;;
4551;SÃO PAULO;Cravinhos;425249.71875;30849;13784.87988281;;
4552;MINAS GERAIS;Gurinhatã;88027.0;6228;14134.0703125;MG;SUDESTE
4553;MINAS GERAIS;Fronteira dos Vales;21192.48828125;4980;4255.52001953;MG;SUDESTE
4554;PARANÁ;Reserva do Iguaçu;65388.59765625;7449;8778.16992188;;
4555;MARANHÃO;Raposa;100919.5859375;25837;3906.01000977;;
4556;AMAZONAS;Santo Antônio do Içá;94013.0;30351;3097.5300293;AM;NORTE
4557;BAHIA;Cocos;135027.5;17923;7533.75976562;BA;NORDESTE
4558;SANTA CATARINA;Macieira;27063.52929688;1787;15144.66992188;SC;SUL
4559;BAHIA;Luís Eduardo Magalhães;1888228.125;52054;36274.41015625;BA;NORDESTE
4560;BAHIA;Camaçari;12158915.0;234558;51837.55859375;BA;NORDESTE
4561;RIO GRANDE DO SUL;Maçambará;134769.140625;4375;30804.36914062;RS;SUL
4562;BAHIA;Itaberaba;338606.15625;61490;5506.68994141;BA;NORDESTE
4563;GOIÁS;Varjão;28725.76757812;3806;7547.5;;
4564;MINAS GERAIS;Verdelândia;64725.09375;8514;7602.20019531;MG;SUDESTE
4565;MINAS GERAIS;Berizal;17727.66210938;4655;3808.31005859;MG;SUDESTE
4566;SÃO PAULO;Paulistânia;23322.51171875;1909;12217.13964844;;
4567;BAHIA;Entre Rios;248541.796875;40524;6133.20019531;BA;NORDESTE
4568;CEARÁ;Quixadá;392364.25;80447;4877.29980469;;
4569;GOIÁS;Moiporá;17579.0234375;1865;9425.75;;
4570;RIO DE JANEIRO;Paraty;532311.375;35730;14898.16015625;RJ;SUDESTE
4571;CEARÁ;Senador Pompeu;106628.1953125;25263;4220.72998047;;
4572;RIO GRANDE DO NORTE;Cruzeta;48400.60546875;8029;6028.22021484;RN;NORDESTE
4573;CEARÁ;Itarema;159949.25;36536;4377.85009766;;
4574;MINAS GERAIS;Belmiro Braga;32525.99804688;3079;10563.8203125;MG;SUDESTE
4575;MINAS GERAIS;Espinosa;136152.84375;32461;4194.35009766;MG;SUDESTE
4576;PARANÁ;Imbaú;65769.6796875;12040;5462.60009766;;
4577;PARANÁ;Doutor Ulysses;83953.4140625;6145;13662.0703125;;
4578;RIO GRANDE DO SUL;Quinze de Novembro;78385.8828125;3678;21312.09960938;RS;SUL
4579;AMAZONAS;Beruri;78535.7421875;14705;5340.75;AM;NORTE
4580;BAHIA;Santo Antônio de Jesus;835156.6875;88768;9408.30957031;BA;NORDESTE
4581;RIO GRANDE DO SUL;Cerro Grande;23237.73828125;2659;8739.28027344;RS;SUL
4582;MINAS GERAIS;Indianópolis;286319.625;6671;42920.05078125;MG;SUDESTE
4583;RIO GRANDE DO SUL;Humaitá;71322.4453125;4999;14267.33984375;RS;SUL
4584;MINAS GERAIS;Mateus Leme;337752.53125;26862;12573.62011719;MG;SUDESTE
4585;SANTA CATARINA;Imaruí;128429.40625;11677;10998.49023438;SC;SUL
4586;RIO GRANDE DO SUL;Dois Irmãos;555140.3125;26421;21011.33007812;RS;SUL
4587;BAHIA;Paramirim;78535.03125;20870;3763.06005859;BA;NORDESTE
4588;MINAS GERAIS;Congonhas do Norte;20812.99609375;5335;3901.2199707;MG;SUDESTE
4589;SÃO PAULO;Lagoinha;48048.41796875;4909;9787.8203125;;
4590;RONDÔNIA;Guajará-Mirim;489898.8125;40762;12018.51953125;;
4591;ALAGOAS;Craíbas;73514.7890625;23294;3155.94995117;AL;NORDESTE
4592;BAHIA;Feira da Mata;30380.33398438;6562;4629.74023438;BA;NORDESTE
4593;MARANHÃO;Trizidela do Vale;80588.1328125;19104;4218.39013672;;
4594;SÃO PAULO;Embu;3698098.0;248722;14868.40039062;;
4595;SANTA CATARINA;São Martinho;49147.94921875;3281;14979.55957031;SC;SUL
4596;MINAS GERAIS;Governador Valadares;2845814.0;263274;10809.3203125;MG;SUDESTE
4597;BAHIA;Candiba;43417.87109375;12821;3386.4699707;BA;NORDESTE
4598;RIO GRANDE DO SUL;Vista Alegre do Prata;25530.92382812;1505;16964.0703125;RS;SUL
4599;SÃO PAULO;Barra do Turvo;44993.55078125;7699;5844.08007812;;
4600;RIO GRANDE DO NORTE;São João do Sabugi;30413.1796875;5953;5108.87988281;RN;NORDESTE
4601;RIO GRANDE DO SUL;Erechim;2099846.25;97916;21445.38085938;RS;SUL
4602;MATO GROSSO;Santo Afonso;37953.6953125;2944;12891.87988281;MT;CENTRO-OESTE
4603;BAHIA;Andaraí;48729.01953125;14609;3335.55004883;BA;NORDESTE
4604;PARAÍBA;Cacimba de Areia;14722.625;3604;4085.08007812;;
4605;GOIÁS;Trombas;22239.45703125;3683;6038.41015625;;
4606;MINAS GERAIS;São Roque de Minas;101647.859375;6301;16132.01953125;MG;SUDESTE
4607;PIAUÍ;Batalha;81977.6875;26681;3072.51000977;;
4608;ALAGOAS;Belo Monte;30603.25585938;7510;4075.0;AL;NORDESTE
4609;AMAZONAS;Manicoré;239006.1875;46773;5109.91992188;AM;NORTE
4610;PERNAMBUCO;São Bento do Una;267400.34375;49372;5416.02978516;PE;NORDESTE
4611;TOCANTINS;Monte Santo do Tocantins;17881.96875;1914;9342.71972656;TO;NORTE
4612;RIO GRANDE DO SUL;Imbé;188084.265625;16301;11538.20019531;RS;SUL
4613;MINAS GERAIS;Piedade do Rio Grande;173165.03125;4871;35550.19921875;MG;SUDESTE
4614;MARANHÃO;São Mateus do Maranhão;117996.625;39622;2978.06005859;;
4615;RIO GRANDE DO NORTE;Passa e Fica;48088.0234375;10954;4390.0;RN;NORDESTE
4616;GOIÁS;Araçu;31861.68945312;3946;8074.43017578;;
4617;SÃO PAULO;Taiúva;54916.61328125;5505;9975.76953125;;
4618;RIO GRANDE DO NORTE;Barcelona;17381.98242188;4042;4300.33984375;RN;NORDESTE
4619;MINAS GERAIS;Coromandel;475813.28125;28296;16815.5703125;MG;SUDESTE
4620;RIO GRANDE DO SUL;Campos Borges;46183.6484375;3693;12505.73046875;RS;SUL
4621;PARANÁ;Itaperuçu;174329.203125;23501;7417.95019531;;
4622;MARANHÃO;Pedreiras;215696.484375;38934;5540.04980469;;
4623;RIO GRANDE DO SUL;Pantano Grande;144975.21875;9794;14802.45019531;RS;SUL
4624;BAHIA;Pé de Serra;57215.6796875;14788;3869.06005859;BA;NORDESTE
4625;MARANHÃO;Paulo Ramos;90368.515625;16236;5565.93017578;;
4626;RIO GRANDE DO SUL;Salvador das Missões;63773.171875;2671;23876.140625;RS;SUL
4627;RIO GRANDE DO SUL;Segredo;83060.3828125;7301;11376.58007812;RS;SUL
